Easting,Northing,Weighting,Cluster_220,Cluster_480
680192.865005413,6407914.31183724,4.0,15,8
680193.813887525,6406286.74605568,16.0,18,7
680193.813887525,6406529.79174787,3.0,9,5
680193.813887525,6406725.89272293,16.0,10,6
680193.813887525,6406987.41193602,12.0,12,4
680196.612965015,6408193.69332428,14.0,17,10
680196.612965015,6408402.67918318,4.0,22,13
680198.665005413,6407756.90181121,4.0,16,9
680198.665005413,6407913.31288511,4.0,15,8
680199.613887525,6406286.74858295,16.0,19,11
680199.613887525,6406529.7931705,3.0,9,5
680199.613887525,6406725.89294406,16.0,11,6
680199.613887525,6406987.4112427,12.0,12,4
680202.412965015,6408193.69303459,14.0,17,10
680202.412965015,6408402.67915489,4.0,22,13
680204.465005413,6407755.90723166,4.0,16,9
680204.465005413,6407912.31563822,4.0,15,8
680205.413887525,6406286.7508007,16.0,19,11
680205.413887525,6406582.40394961,16.0,23,14
680205.413887525,6406795.5581733,4.0,24,29
680205.413887525,6406987.41128104,12.0,12,4
680208.212965015,6408193.69322166,14.0,17,10
680208.212965015,6408472.36197966,16.0,22,13
680210.265005414,6407754.91372375,4.0,16,9
680210.265005414,6407911.31888342,4.0,15,8
680211.213887525,6406286.75324281,16.0,19,11
680211.213887525,6406582.40382178,16.0,23,14
680211.213887525,6406795.55845393,4.0,24,29
680211.213887525,6406951.97864052,4.0,12,4
680214.012965015,6408193.69298073,14.0,20,12
680214.012965015,6408472.36385387,16.0,22,13
680216.065005413,6407753.92041152,4.0,16,9
680216.065005413,6407910.32199653,4.0,15,8
680216.762119935,6407287.23031506,3.0,40,15
680217.013887525,6406286.75558784,16.0,18,7
680217.013887525,6406582.4040919,16.0,25,5
680217.013887525,6406795.5582936,4.0,24,29
680217.013887525,6406951.97552375,4.0,21,29
680219.812965016,6408193.69291282,14.0,20,12
680219.812965016,6408472.36161078,16.0,22,13
680221.865005414,6407717.47720893,12.0,16,9
680221.865005414,6407926.10950555,3.0,15,8
680222.562119935,6407287.22943297,3.0,40,15
680222.813887525,6406286.75790918,16.0,18,7
680222.813887525,6406795.55784201,4.0,24,29
680222.813887525,6406951.97551806,4.0,21,29
680222.813887526,6406582.40492476,16.0,25,5
680225.612965015,6408193.69318104,14.0,17,10
680225.612965015,6408472.36356726,16.0,22,13
680227.665005414,6407716.47831439,12.0,16,9
680227.665005414,6407925.11431519,3.0,15,8
680228.362119935,6407287.22938313,3.0,26,15
