Easting,Northing,Weighting,Cluster_240,Cluster_480,Cluster_Parent,Cluster_Sub
680318.265005414,6407901.3499422,4.0,88,51,51,1483
680318.962119935,6407269.33254099,12.0,91,16,16,516
680319.213887526,6405973.9835288,14.0,18,10,10,325
680319.213887526,6406286.77236467,16.0,4,2,2,65
680319.213887526,6406582.42015035,16.0,20,11,11,352
680319.213887526,6406795.5580497,4.0,25,14,14,428
680319.213887526,6406917.90004409,2.0,94,14,14,422
680322.012965016,6408193.69501033,14.0,85,49,49,1410
680322.012965016,6408489.43403833,14.0,71,42,42,1236
680322.012965016,6408684.46698756,4.0,73,43,43,1266
680322.012965016,6408893.40279274,14.0,74,44,44,1296
680324.065005414,6407708.50024672,12.0,87,50,50,1448
680324.065005414,6407900.35180274,4.0,89,22,22,695
680324.762119935,6407286.47186432,14.0,91,16,16,519
680325.013887526,6405991.04002048,16.0,18,10,10,324
680325.013887526,6406286.77379832,16.0,4,2,2,67
680325.013887526,6406582.42297761,16.0,20,11,11,354
680325.013887526,6406795.55834063,4.0,25,14,14,428
680325.013887526,6406917.90205715,2.0,94,14,14,422
680327.812965016,6408193.69618858,14.0,85,49,49,1408
680327.812965016,6408472.35827934,16.0,71,42,42,1233
680327.812965016,6408684.46758701,4.0,73,43,43,1266
680327.812965016,6408910.47366823,16.0,74,44,44,1293
680329.865005414,6407690.61851896,10.0,87,50,50,1449
680329.865005414,6407899.35510576,4.0,89,22,22,695
680330.562119935,6407286.47161027,14.0,91,16,16,517
680330.813887526,6405991.03957358,16.0,18,10,10,323
680330.813887526,6406286.77511454,16.0,4,2,2,69
680330.813887526,6406582.42666272,16.0,20,11,11,356
680330.813887526,6406795.55786765,4.0,25,14,14,427
680330.813887526,6406917.90008452,2.0,94,14,14,422
680333.612965016,6408193.69698145,14.0,85,49,49,1409
680333.612965016,6408472.35807621,16.0,71,42,42,1231
680333.612965016,6408684.46547895,4.0,73,43,43,1266
680333.612965016,6408910.47376503,16.0,74,44,44,1291
680335.665005414,6407689.62082755,10.0,87,50,50,1447
680335.665005414,6407898.35852893,4.0,89,22,22,694
680336.362119936,6407286.47131338,14.0,91,16,16,515
680336.613887526,6405991.03976621,16.0,18,10,10,322
680336.613887526,6406286.77624629,16.0,4,2,2,71
680336.613887526,6406582.42936242,16.0,20,11,11,358
680336.613887526,6406795.55890316,4.0,25,14,14,428
680336.613887526,6406917.89809765,2.0,94,14,14,422
680339.412965016,6408176.62949754,16.0,84,49,49,1411
