LocationX,LocationY,Weighting
680225.612965015,6408193.69318104,7
680225.612965015,6408193.69318104,7
680231.412965016,6408193.69320002,7
680231.412965016,6408193.69320002,7
680237.212965016,6408193.69407814,7
680237.212965016,6408193.69407814,7
680243.012965016,6408193.69431789,7
680243.012965016,6408193.69431789,7
680248.812965016,6408193.69484354,7
680248.812965016,6408193.69484354,7
680254.612965016,6408193.69478249,7
680254.612965016,6408193.69478249,7
680260.412965016,6408193.69441358,7
680260.412965016,6408193.69441358,7
680266.212965016,6408193.69481181,7
680266.212965016,6408193.69481181,7
680272.012965016,6408193.69501033,7
680272.012965016,6408193.69501033,7
680277.812965016,6408193.69618858,7
680277.812965016,6408193.69618858,7
680283.612965016,6408193.69698145,7
680283.612965016,6408193.69698145,7
680289.412965016,6408176.62949754,8
680289.412965016,6408176.62949754,8
680295.212965016,6408176.63078644,8
680295.212965016,6408176.63078644,8
680301.012965016,6408176.63240144,8
680301.012965016,6408176.63240144,8
680306.812965016,6408176.63344479,8
680306.812965016,6408176.63344479,8
680312.612965016,6408176.63440902,8
680312.612965016,6408176.63440902,8
680318.412965016,6408176.63528636,8
680318.412965016,6408176.63528636,8
680324.212965016,6408176.63665495,8
680324.212965016,6408176.63665495,8
680330.012965016,6408176.63804755,8
680330.012965016,6408176.63804755,8
680335.812965016,6408176.63999024,8
680335.812965016,6408176.63999024,8
680341.612965017,6408176.64175445,8
680341.612965017,6408176.64175445,8
680347.412965017,6408176.64271322,8
680347.412965017,6408176.64271322,8
680353.212965017,6408176.64435394,8
680353.212965017,6408176.64435394,8
680359.012965017,6408176.64622329,8
680359.012965017,6408176.64622329,8
680364.812965017,6408176.64716966,8
680364.812965017,6408176.64716966,8
680370.612965017,6408176.6501306,8
680370.612965017,6408176.6501306,8
680376.412965017,6408176.65187334,8
680376.412965017,6408176.65187334,8
680382.212965017,6408176.65309353,8
680382.212965017,6408176.65309353,8
680388.012965017,6408176.65453057,8
680388.012965017,6408176.65453057,8
680393.812965017,6408176.65591968,8
680393.812965017,6408176.65591968,8
680399.612965017,6408176.65783288,8
680399.612965017,6408176.65783288,8
680405.412965017,6408176.65952729,8
680405.412965017,6408176.65952729,8
680411.212965017,6408176.66132122,8
680411.212965017,6408176.66132122,8
680417.012965017,6408176.66212489,8
680417.012965017,6408176.66212489,8
680422.812965017,6408176.66299892,8
680422.812965017,6408176.66299892,8
680428.612965017,6408176.66507219,8
680428.612965017,6408176.66507219,8
680434.412965017,6408176.66673601,8
680434.412965017,6408176.66673601,8
680440.212965017,6408176.66710809,8
680440.212965017,6408176.66710809,8
680446.012965017,6408176.66873702,8
680446.012965017,6408176.66873702,8
680451.812965018,6408176.66903767,8
680451.812965018,6408176.66903767,8
680457.612965017,6408176.66957698,8
680457.612965017,6408176.66957698,8
680463.412965017,6408176.66968654,8
680463.412965017,6408176.66968654,8
680469.212965018,6408176.66979197,8
680469.212965018,6408176.66979197,8
680475.012965017,6408176.6702885,8
680475.012965017,6408176.6702885,8
680480.812965018,6408176.67033074,8
680480.812965018,6408176.67033074,8
680486.612965018,6408176.67056221,8
680486.612965018,6408176.67056221,8
680492.412965018,6408176.67068327,8
680492.412965018,6408176.67068327,8
680498.212965018,6408176.6718237,8
680498.212965018,6408176.6718237,8
680504.012965018,6408176.67173118,8
680504.012965018,6408176.67173118,8
680509.812965018,6408176.67196598,8
680509.812965018,6408176.67196598,8
680515.612965018,6408176.67166992,8
680515.612965018,6408176.67166992,8
680521.412965018,6408176.67121116,8
680521.412965018,6408176.67121116,8
680527.212965018,6408176.67005147,8
680527.212965018,6408176.67005147,8
680533.012965018,6408176.66971777,8
680533.012965018,6408176.66971777,8
680538.812965018,6408176.67053999,8
680538.812965018,6408176.67053999,8
680544.612965018,6408176.67078068,8
680544.612965018,6408176.67078068,8
680550.412965018,6408176.67109358,8
680550.412965018,6408176.67109358,8
680556.212965018,6408176.67251567,8
680556.212965018,6408176.67251567,8
680805.195958504,6406212.14963074,7
680805.195958504,6406212.14963074,7
680810.995958503,6406211.14013286,7
680810.995958503,6406211.14013286,7
680816.795958504,6406210.13123033,7
680816.795958504,6406210.13123033,7
680822.595958504,6406209.12277471,7
680822.595958504,6406209.12277471,7
680828.395958504,6406208.11409666,7
680828.395958504,6406208.11409666,7
680834.195958504,6406207.10438863,7
680834.195958504,6406207.10438863,7
680839.995958504,6406206.09502379,7
680839.995958504,6406206.09502379,7
680845.795958504,6406205.08563782,7
680845.795958504,6406205.08563782,7
680851.595958504,6406204.0763837,7
680851.595958504,6406204.0763837,7
680857.395958504,6406203.06757263,7
680857.395958504,6406203.06757263,7
680863.195958504,6406202.05964357,7
680863.195958504,6406202.05964357,7
680868.995958504,6406201.04859529,7
680868.995958504,6406201.04859529,7
680874.795958504,6406200.03921847,7
680874.795958504,6406200.03921847,7
680880.595958504,6406199.02974538,7
680880.595958504,6406199.02974538,7
680886.395958504,6406198.02083882,7
680886.395958504,6406198.02083882,7
680892.195958504,6406197.00965235,7
680892.195958504,6406197.00965235,7
680897.995958504,6406196.00015752,7
680897.995958504,6406196.00015752,7
680903.795958504,6406194.99135364,7
680903.795958504,6406194.99135364,7
680909.595958504,6406193.98150246,7
680909.595958504,6406193.98150246,7
680915.395958504,6406192.97210419,7
680915.395958504,6406192.97210419,7
680921.195958504,6406191.96318643,7
680921.195958504,6406191.96318643,7
680926.995958504,6406190.95417569,7
680926.995958504,6406190.95417569,7
680932.795958504,6406189.94545562,7
680932.795958504,6406189.94545562,7
680938.595958505,6406188.93692846,7
680938.595958505,6406188.93692846,7
680944.395958505,6406187.92884882,7
680944.395958505,6406187.92884882,7
680950.195958505,6406186.92028632,7
680950.195958505,6406186.92028632,7
680955.995958505,6406185.91151199,7
680955.995958505,6406185.91151199,7
680961.795958505,6406184.90309127,7
680961.795958505,6406184.90309127,7
680967.595958505,6406183.89438931,7
680967.595958505,6406183.89438931,7
680973.395958505,6406187.4656661,6
680973.395958505,6406187.4656661,6
680979.195958505,6406187.63205601,6
680979.195958505,6406187.63205601,6
680984.995958505,6406187.79889846,6
680984.995958505,6406187.79889846,6
680990.795958505,6406187.96611371,6
680990.795958505,6406187.96611371,6
680996.595958505,6406188.13306188,6
680996.595958505,6406188.13306188,6
681002.395958505,6406188.30014127,6
681002.395958505,6406188.30014127,6
681008.195958505,6406188.46718547,6
681008.195958505,6406188.46718547,6
681013.995958505,6406188.63440278,6
681013.995958505,6406188.63440278,6
681019.795958505,6406188.80130895,6
681019.795958505,6406188.80130895,6
681025.595958505,6406188.96769005,6
681025.595958505,6406188.96769005,6
681031.395958505,6406189.13472405,6
681031.395958505,6406189.13472405,6
681037.195958505,6406189.30135502,6
681037.195958505,6406189.30135502,6
681042.995958505,6406206.27103978,7
681042.995958505,6406206.27103978,7
681048.795958505,6406206.47469936,7
681048.795958505,6406206.47469936,7
681054.595958506,6406206.67767274,7
681054.595958506,6406206.67767274,7
681060.395958505,6406206.88009125,7
681060.395958505,6406206.88009125,7
681066.195958506,6406207.08339366,7
681066.195958506,6406207.08339366,7
681071.995958506,6406207.28617921,7
681071.995958506,6406207.28617921,7
681077.795958506,6406207.48961262,7
681077.795958506,6406207.48961262,7
681083.595958506,6406207.69305718,7
681083.595958506,6406207.69305718,7
681089.395958506,6406207.89665573,7
681089.395958506,6406207.89665573,7
681095.195958506,6406208.10031234,7
681095.195958506,6406208.10031234,7
681100.995958506,6406208.30312358,7
681100.995958506,6406208.30312358,7
681106.795958506,6406208.50617082,7
681106.795958506,6406208.50617082,7
681112.595958506,6406213.91339775,8
681112.595958506,6406213.91339775,8
681118.395958506,6406214.07958376,8
681118.395958506,6406214.07958376,8
681124.195958506,6406214.24669763,8
681124.195958506,6406214.24669763,8
681129.995958506,6406214.41230008,8
681129.995958506,6406214.41230008,8
681135.795958506,6406214.57813696,8
681135.795958506,6406214.57813696,8
681141.595958506,6406214.74367696,8
681141.595958506,6406214.74367696,8
681147.395958506,6406214.908508,8
681147.395958506,6406214.908508,8
681153.195958506,6406215.08458907,8
681153.195958506,6406215.08458907,8
681158.995958506,6406229.86710681,7
681158.995958506,6406229.86710681,7
681164.795958506,6406245.99572384,6
681164.795958506,6406245.99572384,6
681170.595958506,6406244.98606178,6
681170.595958506,6406244.98606178,6
681176.395958507,6406243.97626016,6
681176.395958507,6406243.97626016,6
681182.195958507,6406242.96649735,6
681182.195958507,6406242.96649735,6
681187.995958506,6406241.95747303,6
681187.995958506,6406241.95747303,6
681193.795958507,6406240.94766055,6
681193.795958507,6406240.94766055,6
681199.595958507,6406239.93853111,6
681199.595958507,6406239.93853111,6
681205.395958507,6406238.92920599,6
681205.395958507,6406238.92920599,6
681211.195958507,6406237.92074911,6
681211.195958507,6406237.92074911,6
681216.995958507,6406236.91117757,6
681216.995958507,6406236.91117757,6
681222.795958507,6406235.90244259,6
681222.795958507,6406235.90244259,6
681228.595958507,6406234.89316266,6
681228.595958507,6406234.89316266,6
681234.395958507,6406233.88468524,6
681234.395958507,6406233.88468524,6
681240.195958507,6406232.87582221,6
681240.195958507,6406232.87582221,6
681245.995958507,6406231.86642414,6
681245.995958507,6406231.86642414,6
681251.795958507,6406230.85828118,6
681251.795958507,6406230.85828118,6
681257.595958507,6406229.85041993,6
681257.595958507,6406229.85041993,6
681263.395958507,6406228.8413799,6
681263.395958507,6406228.8413799,6
681269.195958507,6406227.83082766,6
681269.195958507,6406227.83082766,6
681274.995958507,6406243.7689378,5
681274.995958507,6406243.7689378,5
681280.795958507,6406242.75942278,5
681280.795958507,6406242.75942278,5
681286.595958508,6406241.75040227,5
681286.595958508,6406241.75040227,5
681292.395958507,6406220.0274289,5
681292.395958507,6406220.0274289,5
681197.167833323,6408081.67255498,8
681197.167833323,6408081.67255498,8
681191.367833322,6408082.66987277,8
681191.367833322,6408082.66987277,8
681185.567833323,6408083.66517733,8
681185.567833323,6408083.66517733,8
681179.767833323,6408084.66408601,8
681179.767833323,6408084.66408601,8
681173.967833322,6408085.6579619,8
681173.967833322,6408085.6579619,8
681168.167833322,6408086.6571209,8
681168.167833322,6408086.6571209,8
681162.367833322,6408087.65384934,8
681162.367833322,6408087.65384934,8
681156.567833322,6408088.65055351,8
681156.567833322,6408088.65055351,8
681150.767833322,6408106.50678032,7
681150.767833322,6408106.50678032,7
681144.967833322,6408107.50321847,7
681144.967833322,6408107.50321847,7
681139.167833322,6408107.23872186,7
681133.367833322,6408109.49739654,7
681133.367833322,6408109.49739654,7
681127.567833322,6408093.63443256,8
681127.567833322,6408093.63443256,8
681121.767833322,6408094.63165919,8
681121.767833322,6408094.63165919,8
681115.967833322,6408095.62841692,8
681115.967833322,6408095.62841692,8
681110.167833322,6408096.62693772,8
681110.167833322,6408096.62693772,8
681104.367833322,6408097.62364555,8
681104.367833322,6408097.62364555,8
681098.567833322,6408098.62075148,8
681098.567833322,6408098.62075148,8
681092.767833322,6408099.61780482,8
681092.767833322,6408099.61780482,8
681086.967833322,6408100.61499214,8
681086.967833322,6408100.61499214,8
681081.167833321,6408101.6116032,8
681081.167833321,6408101.6116032,8
681075.367833322,6408102.60823307,8
681075.367833322,6408102.60823307,8
681069.567833322,6408103.60537724,8
681069.567833322,6408103.60537724,8
681063.767833321,6408104.60216506,8
681063.767833321,6408104.60216506,8
681057.967833322,6408105.59939455,8
681057.967833322,6408105.59939455,8
681052.167833321,6408106.5961042,8
681052.167833321,6408106.5961042,8
681046.367833321,6408107.59381066,8
681046.367833321,6408107.59381066,8
681040.567833321,6408108.5909282,8
681040.567833321,6408108.5909282,8
